SepalLength,SepalWidth,PetalLength,PetalWidth,Species,Color
5.1,3.5,1.4,0.2,setosa,yellow
4.9,3,1.4,0.2,setosa,white
4.7,3.2,1.3,0.2,setosa,pink
4.6,3.1,1.5,0.2,setosa,purple
5,3.6,1.4,0.2,setosa,purple
5.4,3.9,1.7,0.4,setosa,yellow
4.6,3.4,1.4,0.3,setosa,magenta
5,3.4,1.5,0.2,setosa,white
4.4,2.9,1.4,0.2,setosa,yellow
4.9,3.1,1.5,0.1,setosa,purple
5.4,3.7,1.5,0.2,setosa,pink
4.8,3.4,1.6,0.2,setosa,white
4.8,3,1.4,0.1,setosa,white
4.3,3,1.1,0.1,setosa,yellow
5.8,4,1.2,0.2,setosa,pink
5.7,4.4,1.5,0.4,setosa,purple
5.4,3.9,1.3,0.4,setosa,white
5.1,3.5,1.4,0.3,setosa,white
5.7,3.8,1.7,0.3,setosa,yellow
5.1,3.8,1.5,0.3,setosa,pink
5.4,3.4,1.7,0.2,setosa,magenta
5.1,3.7,1.5,0.4,setosa,purple
4.6,3.6,1,0.2,setosa,white
5.1,3.3,1.7,0.5,setosa,purple
4.8,3.4,1.9,0.2,setosa,magenta
5,3,1.6,0.2,setosa,yellow
5,3.4,1.6,0.4,setosa,white
5.2,3.5,1.5,0.2,setosa,yellow
5.2,3.4,1.4,0.2,setosa,purple
4.7,3.2,1.6,0.2,setosa,white
4.8,3.1,1.6,0.2,setosa,yellow
5.4,3.4,1.5,0.4,setosa,purple
5.2,4.1,1.5,0.1,setosa,white
5.5,4.2,1.4,0.2,setosa,magenta
4.9,3.1,1.5,0.2,setosa,purple
5,3.2,1.2,0.2,setosa,magenta
5.5,3.5,1.3,0.2,setosa,magenta
4.9,3.6,1.4,0.1,setosa,yellow
4.4,3,1.3,0.2,setosa,white
5.1,3.4,1.5,0.2,setosa,purple
5,3.5,1.3,0.3,setosa,magenta
4.5,2.3,1.3,0.3,setosa,purple
4.4,3.2,1.3,0.2,setosa,purple
5,3.5,1.6,0.6,setosa,pink
5.1,3.8,1.9,0.4,setosa,white
4.8,3,1.4,0.3,setosa,white
5.1,3.8,1.6,0.2,setosa,white
4.6,3.2,1.4,0.2,setosa,white
5.3,3.7,1.5,0.2,setosa,pink
5,3.3,1.4,0.2,setosa,white
7,3.2,4.7,1.4,versicolor,pink
6.4,3.2,4.5,1.5,versicolor,white
6.9,3.1,4.9,1.5,versicolor,purple
